9606	56900	NM_020141	chr1	109633402	109639554	TMEM167B	transmembrane protein 167B	protein-coding	6
9606	170506	NM_001114397	chr3	153993456	154042286	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	protein-coding	48
9606	55608	NM_001286721	chr13	111545038	111567454	ANKRD10	ankyrin repeat domain 10	protein-coding	6
9606	26472	NM_138689	chr11	64011950	64014413	PPP1R14B	protein phosphatase 1, regulatory (inhibitor) subunit 14B	protein-coding	15
9606	91748	NM_001043318	chr14	74181824	74253961	ELMSAN1	ELM2 and Myb/SANT-like domain containing 1	protein-coding	20
9606	360030	NM_001145465	chr12	7917811	7926717	NANOGNB	NANOG neighbor homeobox	protein-coding	1
9606	8604	NM_003705	chr2	172639914	172750816	SLC25A12	solute carrier family 25 (aspartate/glutamate carrier), member 12	protein-coding	51
9606	259294	NM_176888	chr12	11174217	11175219	TAS2R19	taste receptor, type 2, member 19	protein-coding	11
9606	2752	NM_001033044	chr1	182347227	182361341	GLUL	glutamate-ammonia ligase	protein-coding	77
9606	5726	NM_176817	chr7	141672430	141673573	TAS2R38	taste receptor, type 2, member 38	protein-coding	61
9606	390874	NM_001080488	chr19	1753661	1775444	ONECUT3	one cut homeobox 3	protein-coding	4
9606	652276	NR_015441	chr16	2653384	2680495	LOC652276	potassium channel tetramerization domain containing 5 pseudogene	pseudo	4
9606	3026	NM_001177660	chr10	115310589	115349360	HABP2	hyaluronan binding protein 2	protein-coding	57
9606	646168	NR_033843	chr3	167613735	167641797	LINC01330	long intergenic non-protein coding RNA 1330	pseudo	1
9606	63926	NM_022096	chr20	10015646	10037410	ANKEF1	ankyrin repeat and EF-hand domain containing 1	protein-coding	7
9606	730	NM_000587	chr5	40909598	40983042	C7	complement component 7	protein-coding	50
9606	3696	NM_002214	chr7	20370724	20455382	ITGB8	integrin, beta 8	protein-coding	34
9606	84750	NM_032664	chr8	33228343	33330664	FUT10	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)	protein-coding	7
9606	2230	NM_004109	chr11	110300660	110335608	FDX1	ferredoxin 1	protein-coding	31
9606	84132	NM_032172	chr7	6144549	6201195	USP42	ubiquitin specific peptidase 42	protein-coding	19
9606	56474	NM_001144002	chrX	16606121	16730340	CTPS2	CTP synthase 2	protein-coding	18
9606	29128	NM_001048201	chr19	4909441	4962165	UHRF1	ubiquitin-like with PHD and ring finger domains 1	protein-coding	101
9606	212	NM_000032	chrX	55035487	55057497	ALAS2	5'-aminolevulinate synthase 2	protein-coding	47
